Lead_id,Customer_id,Campaign_id,Branch_id,Lead_date,Lead_source,Lead_status,Assigned_Salesperson_id,Expected_budget,Interested_car_Segment,Conversion_date
1,658,15,3,2023-11-20,Referral,Converted,NULL,4107700.06,SUV,2023-12-04
2,973,5,5,2024-01-20,Email,Lost,36,3628794.79,SUV,NULL
3,677,7,8,2024-06-20,Walk-in,Lost,57,1471065.30,Hatchback,NULL
4,909,2,7,2023-02-17,Facebook,Qualified,54,3880514.07,Sedan,NULL
5,1185,NULL,1,2024-07-29,Website,Lost,10,1023634.83,Sedan,NULL
6,1092,7,2,2023-08-09,Referral,Lost,11,4419861.50,SUV,NULL
7,742,1,6,2023-07-30,Facebook,Open,46,4924099.38,SUV,NULL
8,672,NULL,1,2022-10-01,Walk-in,Lost,NULL,5454816.13,Hatchback,NULL
9,999,NULL,7,2023-01-23,Facebook,Contacted,50,3417757.33,Sedan,NULL
10,69,11,5,2023-04-14,Website,Lost,42,850155.31,Hatchback,NULL
11,135,NULL,1,2023-06-23,Website,Contacted,7,1805311.18,SUV,NULL
12,814,3,7,2023-11-19,Walk-in,Lost,50,5983167.35,SUV,NULL
13,656,8,8,2024-11-13,Google,Qualified,58,3893778.79,Sedan,NULL
14,215,13,8,2023-08-09,Referral,Lost,57,3058404.45,SUV,NULL
15,1043,NULL,5,2023-10-14,Facebook,Converted,NULL,2988029.45,Sedan,2023-11-19
16,701,NULL,4,2023-10-02,Facebook,Qualified,33,4426890.07,Luxury,NULL
17,956,NULL,5,2022-06-18,Email,Open,NULL,2784410.61,Hatchback,NULL
18,930,2,6,2024-02-24,Walk-in,Qualified,46,855125.97,Hatchback,NULL
19,753,13,3,2022-02-24,Walk-in,Qualified,25,2765262.65,SUV,NULL
20,569,NULL,7,2022-03-22,Website,Lost,51,1525436.97,Hatchback,NULL
21,993,12,4,2024-11-21,Facebook,Lost,33,1875155.37,Sedan,NULL
22,317,5,6,2022-12-04,Facebook,Converted,48,5668619.71,SUV,2023-01-03
23,891,5,8,2024-07-07,Google,Lost,56,1249273.23,SUV,NULL
24,169,1,4,2022-12-10,TV,Qualified,NULL,3012367.68,Hatchback,NULL
25,1048,NULL,5,2023-09-24,Referral,Converted,36,5848121.52,Hatchback,2023-10-28
26,996,NULL,6,2022-01-08,Walk-in,Lost,49,1306114.55,Hatchback,NULL
27,175,14,2,2024-01-11,Email,Qualified,19,5889087.08,Hatchback,NULL
28,986,10,8,2024-03-20,TV,Converted,57,3793808.64,SUV,2024-04-05
29,1087,14,1,2024-08-29,Google,Open,7,5476766.78,Sedan,NULL
30,41,5,7,2023-06-28,Facebook,Lost,50,4650658.45,Luxury,NULL
31,195,NULL,4,2023-04-01,Walk-in,Qualified,31,3192520.08,Hatchback,NULL
32,1004,11,1,2023-03-30,Facebook,Contacted,4,4503829.19,Sedan,NULL
33,788,10,3,2023-01-24,Referral,Qualified,NULL,1478974.92,SUV,NULL
34,912,1,3,2023-08-17,Referral,Converted,24,5367821.12,Sedan,2023-09-11
35,35,2,2,2023-06-22,Email,Lost,12,1471395.09,Luxury,NULL
36,1182,1,2,2024-03-04,Website,Lost,16,5793326.15,SUV,NULL
37,525,11,2,2023-06-17,Website,Lost,12,3983413.91,Hatchback,NULL
38,1117,1,8,2022-05-30,Website,Lost,58,5677661.44,Hatchback,NULL
39,204,NULL,1,2022-03-11,Website,Lost,4,852821.16,Luxury,NULL
40,1078,7,6,2023-09-06,Walk-in,Lost,45,4345340.53,Sedan,NULL
41,292,10,1,2023-10-22,Google,Contacted,2,2344271.22,SUV,NULL
42,1020,12,3,2023-03-20,Referral,Converted,24,584536.58,Luxury,2023-05-15
43,779,9,8,2022-10-18,Referral,Qualified,58,4757368.45,SUV,NULL
44,1151,10,6,2022-06-19,Facebook,Qualified,45,3105496.75,Hatchback,NULL
45,1068,1,8,2024-03-11,Walk-in,Converted,NULL,2426884.02,Hatchback,2024-03-24
46,943,NULL,5,2023-03-19,Facebook,Contacted,NULL,4670536.36,Hatchback,NULL
47,262,7,4,2023-09-15,Facebook,Qualified,NULL,4208848.51,Hatchback,NULL
48,475,NULL,2,2023-06-17,Google,Qualified,17,4760992.92,Hatchback,NULL
49,1086,10,6,2023-08-28,Google,Open,44,1587719.59,SUV,NULL
50,90,NULL,2,2022-02-10,Website,Contacted,17,642075.07,SUV,NULL
51,1190,13,4,2023-06-05,Walk-in,Lost,28,4482747.92,Luxury,NULL
52,828,11,7,2024-02-05,Website,Lost,50,5157335.08,Sedan,NULL
53,1071,6,6,2024-06-09,Google,Converted,44,1382277.22,SUV,2024-06-13
54,178,3,6,2022-09-25,Referral,Converted,45,5205406.26,SUV,2022-10-09
55,185,1,6,2022-12-24,Website,Converted,NULL,3810856.34,SUV,2023-02-09
56,590,1,4,2023-10-14,Facebook,Lost,29,1819311.69,Sedan,NULL
57,503,12,4,2024-02-08,Walk-in,Contacted,33,3980118.21,Hatchback,NULL
58,957,5,8,2024-08-16,Referral,Contacted,NULL,4415602.25,Sedan,NULL
59,1099,3,8,2024-06-01,Email,Qualified,NULL,4851775.01,SUV,NULL
60,139,11,8,2023-03-25,Referral,Lost,58,5590197.95,Luxury,NULL
61,211,NULL,5,2022-09-17,Email,Lost,41,3017785.90,Hatchback,NULL
62,44,1,6,2024-03-21,Walk-in,Converted,48,2437353.32,Hatchback,2024-04-24
63,613,NULL,2,2024-04-02,Google,Lost,12,2484478.51,SUV,NULL
64,57,2,8,2022-09-16,Facebook,Converted,NULL,4483699.37,SUV,2022-10-21
65,438,6,7,2022-12-12,Referral,Contacted,50,3978411.29,Luxury,NULL
66,198,13,8,2024-05-04,Referral,Qualified,58,5184471.92,SUV,NULL
67,257,NULL,2,2023-09-02,Referral,Open,19,4130350.87,Hatchback,NULL
68,216,14,8,2023-05-20,Walk-in,Converted,58,1074397.53,Hatchback,2023-07-13
69,74,NULL,4,2023-09-05,Facebook,Lost,NULL,744028.87,Sedan,NULL
70,515,NULL,4,2022-06-17,Facebook,Lost,28,4062621.77,SUV,NULL
71,810,14,2,2022-05-26,Facebook,Qualified,NULL,2947392.08,Hatchback,NULL
