Sale_id,Customer_id,Car_id,Salesperson_id,Branch_id,Sale_date,Sale_price,Discount_given,Financing_id
1,399,6,23,3,2024-03-22,746612.76,43387.24,3
2,497,48,4,1,2024-11-06,2657765.46,92234.54,NULL
3,255,45,4,1,2024-01-09,1093246.15,6753.85,7
4,1091,2,42,5,2024-09-23,465694.81,24305.19,10
5,10,30,25,3,2024-06-08,929100.82,20899.18,1
6,691,68,58,8,2022-11-26,2058075.29,241924.71,6
7,1050,28,4,1,2023-09-18,974355.47,15644.53,8
8,731,6,17,2,2023-06-15,783044.96,6955.04,NULL
9,756,8,17,2,2024-07-04,660619.15,19380.85,NULL
10,1166,4,51,7,2024-09-22,549809.92,70190.08,NULL
11,360,70,4,1,2024-07-11,1399011.67,988.33,NULL
12,1047,32,24,3,2024-01-01,1286575.76,63424.24,NULL
13,878,64,12,2,2022-07-07,1610171.75,9828.25,2
14,909,41,12,2,2023-10-02,1615622.39,34377.61,NULL
15,591,32,33,4,2023-04-18,1332120.01,17879.99,NULL
16,456,44,58,8,2022-09-03,1649667.19,200332.81,7
17,290,94,2,1,2023-11-07,11391297.34,108702.66,15
18,405,24,17,2,2023-08-21,1140735.55,9264.45,NULL
19,737,24,24,3,2023-08-14,1086037.61,63962.39,NULL
20,41,47,48,6,2024-11-20,2396295.74,203704.26,6
21,950,36,17,2,2023-02-05,1204542.78,35457.22,7
22,1026,43,6,1,2024-12-24,1448059.08,21940.92,19
23,80,93,4,1,2023-03-14,6924356.10,275643.90,NULL
24,714,55,42,5,2023-01-13,1018505.67,71494.33,NULL
25,71,109,17,2,2024-09-21,8946761.66,53238.34,NULL
26,302,77,58,8,2024-03-04,1260857.50,139142.50,13
27,165,26,25,3,2022-06-23,4470587.40,129412.60,NULL
28,784,73,41,5,2024-10-03,727748.23,12251.77,12
29,551,74,45,6,2023-12-27,722081.03,57918.97,14
30,591,22,30,4,2022-03-16,2007115.93,42884.07,NULL
31,436,2,25,3,2024-03-28,473081.50,16918.50,20
32,341,3,4,1,2023-05-19,554740.93,5259.07,4
33,545,10,7,1,2024-01-07,998688.75,21311.25,20
34,545,116,33,4,2023-05-22,6930772.42,469227.58,NULL
35,740,44,46,6,2024-11-26,1777820.47,72179.53,13
36,285,4,42,5,2023-09-27,604554.40,15445.60,16
37,385,28,20,3,2023-01-26,936392.71,53607.29,NULL
38,993,77,19,2,2023-11-16,1344735.20,55264.80,NULL
39,789,25,53,7,2024-11-26,678594.70,81405.30,5
40,179,79,27,3,2024-07-15,1399045.39,100954.61,18
41,434,3,12,2,2024-01-11,539780.67,20219.33,NULL
42,528,67,12,2,2022-08-24,2156707.63,43292.37,NULL
43,459,124,12,2,2023-11-24,7958591.18,241408.82,18
44,895,32,57,8,2023-02-11,1219519.38,130480.62,NULL
45,238,20,42,5,2024-08-01,1408460.49,41539.51,7
46,868,49,48,6,2024-02-22,842586.06,77413.94,13
47,944,36,7,1,2023-07-20,1225943.72,14056.28,NULL
48,71,39,45,6,2024-04-28,906413.00,93587.00,7
49,772,28,22,3,2024-11-26,966730.74,23269.26,NULL
50,367,73,50,7,2024-09-28,707197.73,32802.27,13
51,970,111,17,2,2023-05-23,11075390.66,424609.34,NULL
52,200,2,33,4,2024-07-06,468131.57,21868.43,16
53,297,8,19,2,2022-10-19,677227.02,2772.98,NULL
54,772,113,48,6,2022-01-12,8382094.26,1117905.74,2
55,1056,62,4,1,2022-10-08,1098504.32,1495.68,16
56,354,44,19,2,2024-09-03,1792447.92,57552.08,NULL
57,564,48,32,4,2022-02-16,2616667.46,133332.54,NULL
58,1174,116,16,2,2024-10-06,7286347.88,113652.12,NULL
59,612,18,39,5,2024-11-18,802703.42,17296.58,NULL
60,1139,80,7,1,2023-07-19,1418739.06,31260.94,NULL
61,425,93,30,4,2023-03-18,6934795.40,265204.60,2
62,423,15,6,1,2024-01-04,2400397.47,49602.53,18
63,1,6,10,1,2023-10-22,773122.36,16877.64,16
64,1071,108,42,5,2023-09-22,6397536.58,402463.42,7
65,441,124,6,1,2023-04-24,7995881.42,204118.58,9
66,335,9,19,2,2024-12-05,919850.00,20150.00,9
67,395,61,58,8,2024-08-14,7616500.63,883499.37,14
68,507,4,24,3,2024-06-11,589985.40,30014.60,11
69,300,32,45,6,2022-12-08,1263496.17,86503.83,4
70,628,81,6,1,2023-09-28,3460520.46,39479.54,4
71,350,50,50,7,2024-09-26,1244900.62,105099.38,13
72,262,79,24,3,2022-02-13,1433919.53,66080.47,12
73,511,46,42,5,2022-12-26,1539008.08,60991.92,14
74,469,9,34,4,2023-05-03,894804.24,45195.76,8
75,339,15,58,8,2023-07-28,2374141.82,75858.18,NULL
76,280,56,42,5,2024-08-04,2027910.60,72089.40,1
77,1095,33,42,5,2024-11-17,1660671.80,89328.20,15
78,1073,97,57,8,2024-07-02,7362444.47,537555.53,12
79,693,101,58,8,2024-11-10,9902276.80,597723.20,7
80,1165,36,10,1,2024-07-02,1193603.45,46396.55,NULL
81,118,77,45,6,2023-02-12,1245835.27,154164.73,12
82,883,15,6,1,2024-06-16,2449322.78,677.22,NULL
83,964,36,17,2,2024-08-09,1234608.73,5391.27,15
84,725,10,4,1,2024-03-07,1008376.09,11623.91,14
85,65,8,42,5,2024-12-04,656019.31,23980.69,5
86,819,74,19,2,2023-02-04,755267.36,24732.64,12
87,485,28,24,3,2023-01-16,962905.68,27094.32,14
88,313,23,15,2,2024-11-23,2821801.60,28198.40,NULL
89,212,56,17,2,2022-11-21,2046703.92,53296.08,5
90,561,95,24,3,2023-02-02,4062151.13,137848.87,8
91,873,56,17,2,2022-02-12,2076433.30,23566.70,14
92,98,1,12,2,2024-04-16,454845.07,5154.93,NULL
93,517,109,24,3,2022-09-22,8612045.16,387954.84,NULL
94,741,62,17,2,2023-09-07,1074289.60,25710.40,4
95,247,8,4,1,2023-02-18,663162.92,16837.08,16
96,414,21,57,8,2022-08-09,1690538.68,209461.32,NULL
97,1148,109,45,6,2024-11-03,8338915.30,661084.70,17
98,342,70,49,6,2023-12-02,1257906.81,142093.19,13
99,1091,14,22,3,2024-06-25,1043912.00,36088.00,7
100,328,62,7,1,2024-10-15,1077832.02,22167.98,NULL
101,452,36,17,2,2022-01-08,1225524.57,14475.43,NULL
102,569,103,58,8,2022-12-27,15217639.76,782360.24,12
103,756,82,33,4,2023-03-20,3694763.86,105236.14,NULL
104,22,32,33,4,2023-04-01,1292971.52,57028.48,NULL
105,1195,30,49,6,2023-09-20,874399.95,75600.05,NULL
106,551,30,13,2,2022-10-12,944363.30,5636.70,16
107,379,23,4,1,2023-10-21,2817846.96,32153.04,6
108,385,3,45,6,2023-09-13,538148.22,21851.78,1
109,774,9,33,4,2024-09-02,923145.10,16854.90,NULL
110,28,10,19,2,2022-10-11,985209.02,34790.98,5
111,1153,96,24,3,2023-04-18,5216626.40,283373.60,4
112,92,27,3,1,2024-06-01,558837.73,21162.27,14
113,724,32,25,3,2024-09-23,1269854.43,80145.57,6
114,460,27,57,8,2023-02-03,515850.39,64149.61,6
115,686,68,24,3,2024-09-20,2164176.37,135823.63,4
116,1023,34,19,2,2024-02-01,2124169.17,75830.83,NULL
117,301,50,45,6,2024-12-27,1301321.39,48678.61,9
118,662,97,7,1,2023-07-16,7680879.02,219120.98,11
119,504,60,6,1,2023-08-27,4755818.01,44181.99,14
120,450,33,32,4,2022-11-12,1673870.68,76129.32,NULL
121,123,109,54,7,2024-10-10,8357085.41,642914.59,NULL
122,863,25,28,4,2022-12-23,745875.71,14124.29,NULL
123,870,82,37,5,2023-07-20,3563531.25,236468.75,12
124,502,38,4,1,2022-10-24,665653.36,14346.64,NULL
125,691,66,25,3,2023-03-21,1926742.06,23257.94,NULL
126,23,50,25,3,2024-08-27,1315597.60,34402.40,10
127,868,103,42,5,2023-12-05,15126590.65,873409.35,2
128,377,59,17,2,2022-09-16,4246131.38,53868.62,NULL
129,338,29,47,6,2022-02-03,684270.50,45729.50,NULL
130,491,60,12,2,2022-01-10,4763953.19,36046.81,2
131,175,122,12,2,2024-07-02,16292377.01,207622.99,NULL
132,731,45,6,1,2023-06-12,1057150.57,42849.43,NULL
133,835,118,3,1,2024-03-19,6389837.71,210162.29,2
134,311,15,19,2,2022-10-07,2370867.35,79132.65,NULL
135,330,118,42,5,2024-09-25,6398799.55,201200.45,NULL
136,738,47,11,2,2024-09-08,2578282.65,21717.35,NULL
137,313,55,3,1,2022-10-10,1066144.87,23855.13,NULL
138,179,52,45,6,2024-03-09,1377170.93,122829.07,3
139,944,51,10,1,2024-06-05,1876693.30,73306.70,NULL
140,745,45,24,3,2023-09-15,1064795.67,35204.33,NULL
141,766,38,57,8,2023-11-22,656988.25,23011.75,NULL
142,502,59,1,1,2024-05-06,4201937.00,98063.00,NULL
